"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Steel Defender","TCE","19","Medium","Construct","","15 (natural armor)","2 + your Intelligence modifier + five times your artificer level (the defender has a number of Hit Dice [d8s] equal to your artificer level)","40 ft.","14","12","14","4","10","6","Dex +1 plus PB, Con +2 plus PB","Athletics +2 plus PB, Perception +0 plus PB × 2","","","poison","charmed, exhaustion, poisoned","Darkvision 60 ft., passive Perception 10 + (PB × 2)","Understands the languages you speak","None (XP 0; PB equals your bonus)","Vigilant. The defender can't be surprised.","Force-Empowered Rend. Melee Weapon Attack: your spell attack modifier to hit, reach 5 ft., one target you can see. Hit: 1d8 + PB force damage.
Repair (3/Day). The magical mechanisms inside the defender restore 2d8 + PB hit points to itself or to one construct or object within 5 feet of it.","","Deflect Attack. The defender imposes disadvantage on the attack roll of one creature it can see that is within 5 feet of it, provided the attack roll is against a creature other than the defender.","","","","","",""
"Steel Predator","MPMM","232","Large","Construct","lawful neutral","20 (natural armor)","207 (18d10 + 108)","40 ft.","24","17","22","4","14","6","","Perception +7, Stealth +8, Survival +7","","cold, lightning, necrotic, thunder","poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks","charmed, exhaustion, frightened, paralyzed, petrified, poisoned, stunned","Blindsight 30 ft., Darkvision 60 ft., passive Perception 17","Understands Modron and the language of its owner but can't speak","16 (XP 15,000; PB +5)","Magic Resistance. The steel predator has advantage on saving throws against spells and other magical effects.
Unusual Nature. The steel predator doesn't require air, food, drink, or sleep.","Multiattack. The steel predator makes one Bite attack and two Claw attacks.
Bite. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 18 (2d10 + 7) lightning damage.
Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 16 (2d8 + 7) force damage.
Spellcasting. The steel predator casts one of the following spells, requiring no spell components and using Wisdom as the spellcasting ability:3/day each: dimension door (self only), plane shift (self only)
Stunning Roar (Recharge 5–6). The steel predator emits a roar in a 60-foot cone. Each creature in that area must make a DC 19 Constitution saving throw. On a failed save, a creature takes 33 (6d10) thunder damage, drops everything it's holding, and is stunned for 1 minute. The stunned creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. On a successful save, a creature takes half as much damage and isn't stunned.","","","","","","","Urban",""
"Stegosaurus","MPMM","96","Huge","Beast (Dinosaur)","unaligned","13 (natural armor)","76 (8d12 + 24)","40 ft.","20","9","17","2","11","5","","","","","","","passive Perception 10","—","4 (XP 1,100; PB +2)","","Tail. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 26 (6d6 + 5) piercing damage.","","","","","","","Forest, Grassland",""
"Stench Kow","MPMM","72","Large","Fiend (Cattle)","unaligned","10","15 (2d10 + 4)","30 ft.","18","10","14","2","10","4","","","","cold, fire, poison","","","Darkvision 60 ft., passive Perception 10","—","1/2 (XP 100; PB +2)","Stench. Any creature other than a stench kow that starts its turn within 5 feet of the stench kow must succeed on a DC 12 Constitution saving throw or be poisoned until the start of the creature's next turn. On a successful saving throw, the creature is immune to the Stench of all stench kows for 1 hour.","Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage. If the stench kow moved at least 20 feet straight toward the target immediately before the hit, the target takes an extra 7 (2d6) piercing damage.","","","","","","","Grassland, Urban",""
"Stirge","MM'25","299","Tiny","Monstrosity","unaligned","13","5 (2d4)","10 ft., Fly 40 ft.","4","16","11","2","8","6","","","","","","","Darkvision 60 ft., passive Perception 9","—","1/8 (XP 25; PB +2)","","Proboscis. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6 + 3) Piercing damage, and the stirge attaches to the target. While attached, the stirge can't make Proboscis attacks, and the target takes 5 (2d4) Necrotic damage at the start of each of the stirge's turns.The stirge can detach itself by spending 5 feet of its movement. The target or a creature within 5 feet of it can detach the stirge as an action.","","","","","","","Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Urban",""
"Stone Cursed","MPMM","233","Medium","Construct","lawful evil","17 (natural armor)","19 (3d8 + 6)","10 ft.","16","5","14","5","8","7","","","bludgeoning","","poison","charmed, exhaustion, frightened, petrified, poisoned","passive Perception 9","The languages it knew in life","1 (XP 200; PB +2)","Cunning Opportunist. The stone cursed has advantage on the attack rolls of opportunity attacks.
False Appearance. If the stone cursed is motionless at the start of combat, it has advantage on its initiative roll. Moreover, if a creature hasn't observed the stone cursed move or act, that creature must succeed on a DC 18 Intelligence (Investigation) check to discern that the stone cursed isn't a statue.
Unusual Nature. The stone cursed doesn't require air, food, drink, or sleep.","Petrifying Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 12 (2d8 + 3) slashing damage. If the target is a creature, it must succeed on a DC 12 Constitution saving throw, or it begins to turn to stone and is restrained until the end of its next turn, when it must repeat the saving throw. The effect ends if the second save is successful; otherwise the target is petrified for 24 hours.","","","","","","","Desert, Mountain, Urban",""
"Stone Giant","MM'25","300","Huge","Giant","neutral","17","126 (11d12 + 55)","40 ft.","23","15","20","10","12","9","Dex +5, Con +8, Wis +4","Athletics +12, Perception +4, Stealth +5","","","","","Darkvision 60 ft., passive Perception 14","Giant","7 (XP 2,900; PB +3)","","Multiattack. The giant makes two attacks, using Stone Club or Boulder in any combination.
Stone Club. Melee Attack Roll: +9, reach 15 ft. Hit: 22 (3d10 + 6) Bludgeoning damage.
Boulder. Ranged Attack Roll: +9, range 60/240 ft. Hit: 15 (2d8 + 6) Bludgeoning damage. If the target is a Large or smaller creature, it has the Prone condition.","","Deflect Missile (Recharge 5–6). Trigger: The giant is hit by a ranged attack roll and takes Bludgeoning, Piercing, or Slashing damage from it. Response: The giant reduces the damage it takes from the attack by 11 (1d10 + 6), and if that damage is reduced to 0, the giant can redirect some of the attack's force. Dexterity Saving Throw: DC 17, one creature the giant can see within 60 feet. Failure: 11 (1d10 + 6) Force damage.","","","","","Mountain, Underdark","Armaments"
"Stone Giant Dreamwalker","MPMM","234","Huge","Giant","chaotic neutral","18 (natural armor)","161 (14d12 + 70)","40 ft.","23","14","21","10","8","12","Dex +6, Con +9, Wis +3","Athletics +14, Perception +3","","","","charmed, frightened","Darkvision 60 ft., passive Perception 13","Common, Giant","10 (XP 5,900; PB +4)","Dreamwalker's Charm. An enemy that starts its turn within 30 feet of the giant must make a DC 13 Charisma saving throw, provided that the giant isn't incapacitated. On a failed save, the creature is charmed by the giant. A creature charmed in this way can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Once it succeeds on the saving throw, the creature is immune to this giant's Dreamwalker's Charm for 24 hours.","Multiattack. The giant makes two Greatclub or Rock attacks.
Greatclub. Melee Weapon Attack: +10 to hit, reach 15 ft., one target. Hit: 24 (4d8 + 6) bludgeoning damage.
Rock. Ranged Weapon Attack: +10 to hit, range 60/240 ft., one target. Hit: 22 (3d10 + 6) bludgeoning damage. If the target is a creature, it must succeed on a DC 17 Strength saving throw or be knocked prone.
Petrifying Touch. The giant touches one Medium or smaller creature within 10 feet of it that is charmed by it. The target must make a DC 17 Constitution saving throw. On a failed save, the target becomes petrified, and the giant can adhere the target to its stony body. greater restoration spells and other magic that can undo petrification have no effect on a petrified creature adhered to the giant unless the giant is dead, in which case the magic works normally, freeing the petrified creature as well as ending the petrified condition on it.","","","","","","","Coastal, Hill, Mountain",""
"Stone Giant Rockspeaker","BGG","180","Huge","Giant (Wizard)","any alignment","19 (natural armor)","276 (24d12 + 120)","40 ft.","23","15","20","19","14","10","Dex +7, Con +10, Int +9, Wis +7","Athletics +16, History +9, Perception +7","","","","","Darkvision 120 ft., passive Perception 17","Common, Giant, Terran","16 (XP 15,000; PB +5)","Legendary Resistance (3/Day). If the giant fails a saving throw, it can choose to succeed instead.
Stone Rune. The giant has a stone rune inscribed on a mineral object in its possession. While holding or wearing the object bearing the rune, the giant can use its Prismatic Rays action.The object bearing the rune has AC 18; 30 hit points; and immunity to necrotic, poison, and psychic damage. The object regains all its hit points at the end of every turn, but it turns to dust if reduced to 0 hit points or when the giant dies. If the rune is destroyed, the giant can inscribe a stone rune on an object in its possession when it finishes a short or long rest.","Multiattack. The giant makes three Prism Staff attacks.
Prism Staff. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 16 (3d6 + 6) bludgeoning damage plus 13 (3d8) radiant damage.
Exploding Geode. The giant throws a geode at a point within 60 feet of itself, and the geode explodes in a dazzling flash. Each creature in a 20-foot-radius sphere centered on that point must make a DC 17 Dexterity saving throw. On a failed save, a creature takes 13 (3d8) piercing damage plus 13 (3d8) radiant damage and has the blinded condition until the end of its next turn. On a successful save, a creature takes half as much damage only. After the giant throws the geode, roll a d6; on a roll of 4 or lower, the giant has no more geodes to throw.
Prismatic Rays (Requires Stone Rune). The giant's stone rune emits beams of light that form a 60-foot cone. Each creature in that area must make a DC 17 Dexterity saving throw. For each creature in that area, roll a d6 to determine what ray affects it:
1-2: Blazing Red. On a failed save, the creature takes 35 (10d6) radiant damage and has the blinded condition until the end of the giant's next turn. On a successful save, the creature takes half as much damage only.
3-4: Dreadful Blue. On a failed save, the creature takes 35 (10d6) necrotic damage and has the frightened condition until the end of the giant's next turn. On a successful save, the creature takes half as much damage only.
5-6: Sapping Green. On a failed save, the creature takes 35 (10d6) force damage and has the incapacitated condition until the end of the giant's next turn. On a successful save, the creature takes half as much damage only.","","","","","","","",""
"Stone Giant of Evil Earth","BGG","179","Huge","Giant","neutral evil","20 (plate)","137 (11d12 + 66)","40 ft.","23","13","22","10","12","9","Str +10, Con +10","Athletics +14, Perception +5","","","","","Darkvision 60 ft., passive Perception 15","Common, Giant, Terran","9 (XP 5,000; PB +4)","","Multiattack. The giant makes two Thundering Stone Club or Boulder attacks in any combination.
Thundering Stone Club. Melee Weapon Attack: +10 to hit, reach 15 ft., one target. Hit: 16 (3d6 + 6) bludgeoning damage. The giant can cause the club to emit a burst of thunderous energy that deals 10 (3d6) thunder damage to each creature, other than the giant, within 30 feet of the target. The club can emit a burst this way only once per turn.
Boulder. Ranged Weapon Attack: +10 to hit, range 60/240 ft., one target. Hit: 19 (3d8 + 6) bludgeoning damage, and the target must succeed on a DC 18 Strength saving throw or have the prone condition. After the giant throws the boulder, roll a d6; on a roll of 3 or lower, the giant has no more boulders to throw.","","Unyielding. In response to failing a saving throw to avoid being moved, having the prone condition, or both, the giant succeeds instead.","","","","","",""
"Stone Golem","MM'25","301","Large","Construct","unaligned","18","220 (21d10 + 105)","30 ft.","22","9","20","3","11","1","","","","","poison, psychic","charmed, exhaustion, frightened, paralyzed, petrified, poisoned","Darkvision 120 ft., passive Perception 10","Understands Common plus two other languages but can't speak","10 (XP 5,900; PB +4)","Immutable Form. The golem can't shape-shift.
Magic Resistance. The golem has Advantage on saving throws against spells and other magical effects.","Multiattack. The golem makes two attacks, using Slam or Force Bolt in any combination.
Slam. Melee Attack Roll: +10, reach 5 ft. Hit: 15 (2d8 + 6) Bludgeoning damage plus 9 (2d8) Force damage.
Force Bolt. Ranged Attack Roll: +9, range 120 ft. Hit: 22 (4d10) Force damage.","Slow (Recharge 5–6). The golem casts the Slow spell, requiring no spell components and using Constitution as the spellcasting ability (spell save DC 17).","","","","","","Any",""
"Storm Crab","BGG","181","Gargantuan","Monstrosity","unaligned","18 (natural armor)","155 (10d20 + 50)","40 ft., Swim 60 ft.","23","10","21","5","14","9","Str +10, Con +9","Perception +6","","cold, fire, lightning","","","Blindsight 60 ft., passive Perception 16","Understands Giant but can't speak","11 (XP 7,200; PB +4)","Amphibious. The crab can breathe air and water.","Multiattack. The crab makes two Claw attacks and one Stinger attack.
Claw. Melee Weapon Attack: +10 to hit, reach 15 ft., one target. Hit: 19 (3d8 + 6) bludgeoning damage. If the target is a Huge or smaller creature, it has the grappled condition (escape DC 16). The crab has four claws, each of which can grapple one target.
Stinger. Melee Weapon Attack: +10 to hit, reach 10 ft., one creature. Hit: 22 (3d10 + 6) piercing damage, and the target must succeed on a DC 17 Constitution saving throw or have the poisoned and paralyzed conditions for 1 minute. The affected creature can repeat the saving throw at the end of each of its turns, ending both the poisoned and paralyzed conditions on itself on a success.
Water Jet (Recharge 5–6). The crab exhales water in a 150-foot line that is 10 feet wide. Each creature in that area must make a DC 17 Dexterity saving throw. On a failed save, a creature takes 27 (6d8) bludgeoning damage, is pushed up to 30 feet from the crab, and has the prone condition. On a successful save, a creature takes half as much damage only.","","","","","","","",""
"Storm Giant","MM'25","302","Huge","Giant","chaotic good","16","230 (20d12 + 100)","50 ft., Fly 25 ft. (hover), Swim 50 ft.","29","14","20","16","20","18","Str +14, Con +10, Wis +10, Cha +9","Arcana +8, Athletics +14, History +8, Perception +10","","cold","lightning, thunder","","Darkvision 120 ft., Truesight 30 ft., passive Perception 20","Common, Giant","13 (XP 10,000; PB +5)","Amphibious. The giant can breathe air and water.","Multiattack. The giant makes two attacks, using Storm Sword or Thunderbolt in any combination.
Storm Sword. Melee Attack Roll: +14, reach 10 ft. Hit: 23 (4d6 + 9) Slashing damage plus 13 (3d8) Lightning damage.
Spellcasting. The giant casts one of the following spells, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 18):At will: Detect Magic, Light1/day: Control Weather
Thunderbolt. Ranged Attack Roll: +14, range 500 ft. Hit: 22 (2d12 + 9) Lightning damage, and the target has the Blinded and Deafened conditions until the start of the giant's next turn.
Lightning Storm (Recharge 5–6). Dexterity Saving Throw: DC 18, each creature in a 10-foot-radius, 40-foot-high Cylinder originating from a point the giant can see within 500 feet. Failure: 55 (10d10) Lightning damage. Success: Half damage.","","","","","","","Coastal, Underwater","Armaments"
"Storm Giant Quintessent","MPMM","235","Huge","Giant","chaotic good","12","230 (20d12 + 100)","50 ft., Fly 50 ft. (hover), Swim 50 ft.","29","14","20","17","20","19","Str +14, Con +10, Wis +10, Cha +9","Arcana +8, History +8, Perception +10","","cold; bludgeoning, piercing, and slashing from nonmagical attacks","lightning, thunder","","Truesight 60 ft., passive Perception 20","Common, Giant","16 (XP 15,000; PB +5)","Amphibious. The giant can breathe air and water.
Legendary Resistance (1/Day). If the giant fails a saving throw, it can choose to succeed instead.","Multiattack. The giant makes two Lightning Sword attacks, or it uses Wind Javelin twice.
Lightning Sword. Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 40 (9d6 + 9) lightning damage.
Wind Javelin. The giant coalesces wind into a javelin-like form and hurls it at a creature it can see within 600 feet of it. The javelin deals 19 (3d6 + 9) force damage to the target, striking unerringly. The javelin disappears after it hits.","","","Gust. The giant targets a creature it can see within 60 feet of it and creates a magical gust of wind around the target, who must succeed on a DC 18 Strength saving throw or be moved up to 20 feet in any horizontal direction the giant chooses.
Thunderbolt (Costs 2 Actions). The giant hurls a thunderbolt at a creature it can see within 600 feet of it. The target must make a DC 18 Dexterity saving throw, taking 22 (4d10) thunder damage on a failed save, or half as much damage on a successful one.
One with the Storm (Costs 3 Actions). The giant vanishes, dispersing itself into the storm surrounding its lair. The giant can end this effect at the start of any of its turns, becoming a giant once more and appearing in any location it chooses within its lair. While dispersed, the giant can't take any actions other than lair actions, and it can't be targeted by attacks, spells, or other effects. The giant can't use this ability outside its lair, nor can it use this ability if another creature is using a control weather spell or similar magic to quell the storm.","","A storm giant quintessent can use lair actions in giant form and while transformed into a storm. On initiative count 20 (losing initiative ties), the giant can take one of the following lair actions; the giant can't take the same lair action two rounds in a row:Deafening Boom. The giant creates a thunderclap centered on a point anywhere in their lair. Each creature within 20 feet of that point must succeed on a DC 18 Constitution saving throw or be deafened until the end of its next turn.Fog. The giant creates a 20-foot-radius sphere of fog (or murky water if within water) centered on a point anywhere in its lair. The sphere spreads around corners, and its area is heavily obscured. The fog lasts until the giant disperses it (no action required), and it can't be dispersed by wind.Gale. The giant creates a 60-foot-long, 10-foot-wide line of strong wind (or strong current within water) originating from a point anywhere in its lair. Each creature in that line must succeed on a DC 18 Strength saving throw or be pushed 15 feet in the direction the wind is blowing. The gust disperses gas or vapor, and it extinguishes candles, torches, and similar unprotected flames in its area. Protected flames, such as those of lanterns, have a 50 percent chance of being extinguished.","The region containing a storm giant quintessent's lair is warped by the giant's presence, which creates one or more of the following effects:Downpour. Rain, snow, or blowing dust or sand (whichever is most appropriate) is constant within 1 mile of the lair. Rain causes rivers and streams to fill or overflow their banks; snow, dust, or sand forms deep drifts or dunes.Lightning. Flashes of lightning and peals of thunder are continual, day and night, within 5 miles of the lair.Winds. High wind blows within 1 mile of the lair, making it impossible to light a fire unless the location where the fire is lit is protected from the wind.If the giant dies, the lightning, thunder, and high wind regional effects end immediately. Rain, snow, and blowing dust abate gradually within 1d8 days.","Coastal, Desert, Mountain, Underwater",""
"Storm Giant Tempest Caller","BGG","182","Huge","Giant (Sorcerer)","any alignment","17 (natural armor)","310 (27d12 + 135)","50 ft., Fly 50 ft. (hover), Swim 50 ft.","29","14","20","21","18","25","Str +15, Con +11, Wis +10, Cha +13","Arcana +17, Athletics +15, Perception +10","","cold","lightning, thunder","","Truesight 120 ft., passive Perception 20","Common, Giant, Primordial","20 (XP 25,000; PB +6)","Alert. The giant can't be surprised, and it has advantage on initiative rolls.
Amphibious. The giant can breathe air and water.
Legendary Resistance (3/Day). If the giant fails a saving throw, it can choose to succeed instead.
Scrying (Requires Storm Rune). The giant can use its crystal ball to cast the scrying spell (save DC 17).
Storm Rune. The giant has a storm rune inscribed on a crystal ball. While the object bearing the rune is embedded in its body, the giant can use its Tempest Call action and its Scrying trait.The object bearing the storm rune has AC 17; 50 hit points; and immunity to necrotic, poison, and psychic damage. The object regains all its hit points at the end of every turn, but it turns to dust if reduced to 0 hit points or when the giant dies. If the rune is destroyed, the giant can inscribe a storm rune on another crystal ball in its possession when it finishes a short or long rest.","Multiattack. The giant makes three Lightning Blade or Lightning Lance attacks.
Lightning Blade. Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 22 (3d8 + 9) slashing damage plus 16 (3d10) lightning damage.
Lightning Lance. Ranged Spell Attack: +13 to hit, range 500 ft., one target. Hit: 39 (5d12 + 7) lightning damage.
Spellcasting. The giant casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 21, +13 to hit with spell attacks):At will: detect magic, detect thoughts1/day each: control water, control weather (as an action), dispel magic, plane shift, sending, time stop
Tempest Call (Requires Storm Rune). The giant creates an elemental vortex that fills a 60-foot-radius sphere centered on itself. Each creature in that area other than the giant must make a DC 21 Dexterity saving throw. On a failed save, a creature takes 43 (8d8 + 7) damage of a type of the giant's choosing: cold, lightning, or thunder. On a successful save, a creature takes half as much damage.","","","","","","","",""
"Storm Herald","BGG","183","Huge","Aberration","lawful evil","16 (natural armor)","287 (23d12 + 138)","50 ft., Swim 100 ft.","27","14","22","24","18","18","Wis +10, Cha +10","Arcana +13, Deception +10, Perception +10","","cold, psychic","lightning, thunder","charmed, frightened","Darkvision 120 ft., passive Perception 20","Common, Giant, telepathy 120 ft.","17 (XP 18,000; PB +6)","Amphibious. The herald can breathe air and water.
Magic Resistance. The herald has advantage on saving throws against spells and other magical effects.","Multiattack. The herald makes one Claw attack, one Tentacles attack, and one Trident attack.
Claw. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 18 (3d6 + 8) slashing damage.
Tentacles. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 21 (3d8 + 8) bludgeoning damage. If the target is a Large or smaller creature, it has the grappled condition (escape DC 18). It also has the restrained condition and takes 16 (3d10) psychic damage at the start of each of its turns until this grapple ends. The herald can have only one creature grappled this way at a time.
Spellcasting (Psionics). The herald casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 21):At will: detect magic, detect thoughts, mage hand (the hand is invisible)1/day each: control water, control weather (as an action), sending
Trident. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 18 (3d6 + 8) piercing damage or 21 (3d8 + 8) piercing damage if used with two hands, plus 13 (3d8) lightning damage.
Psychic Wave (Recharge 6). The herald unleashes a blast of psionic energy into the minds of up to three creatures it can see within 90 feet of itself. Each target must make a DC 21 Intelligence saving throw. On a failed save, a target takes 23 (3d10 + 7) psychic damage and has the stunned condition for 1 minute. On a successful save, a target takes half as much damage only. An affected creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.If a creature is reduced to 0 hit points by this psychic damage, it dies and its head explodes if it has one.","","","","","","","",""
"Styx Dragon","CoA","252","Gargantuan","Dragon","chaotic evil","17 (natural armor)","296 (16d20 + 128)","30 ft., Burrow 20 ft., Swim 60 ft.","27","14","26","19","20","19","Dex +8, Con +14, Wis +11, Cha +10","Athletics +21, Insight +11, Perception +11, Survival +17","","damage from spells","cold, poison","blinded, poisoned","Blindsight 120 ft., passive Perception 21","Draconic, Infernal","20 (XP 25,000; PB +6)","Amphibious. The dragon can breathe air and water.
Stygian Wasting. Creatures afflicted with this disease are incapable of regaining hit points in any way until the disease is cured. Additionally, as their flesh starts to rot, a creature with this disease takes 36 (8d8) necrotic damage after each long rest they finish.
Styx Dweller. The dragon is immune to all negative effects from the River Styx.","Multiattack. The dragon can use its Frightful Presence. It then makes three attacks using its Bite, Tail, or a combination of the two. It can replace one of the attacks with Constrict.
Bite. Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 7 (2d6) poison damage, and the target must make a DC 19 Constitution saving throw. On a failed save, the target contracts Stygian Wasting.
Tail. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) bludgeoning damage. If the target is a Large or smaller creature, it has the grappled condition (escape DC 22). The dragon can't make a Tail attack while a creature is grappled in this way.
Constrict. The dragon tightens its grip on a creature grappled by its tail. The creature takes 27 (3d12 + 8) bludgeoning damage, has the restrained condition until the start of the dragon's next turn, and must make a DC 19 Constitution saving throw. On a failed save, the target contracts Stygian Wasting.
Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon must succeed on a DC 18 Wisdom saving throw or have the frightened condition for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.
Stygian Breath (Recharge 5–6). The dragon exhales poisonous Styx water in a 60-foot-long, 10-foot-wide line. Each creature in that line must make a DC 19 Dexterity saving throw, taking 54 (12d8) poison damage on a failed save, or half as much on a successful one. Creatures that fail the save contract Stygian Wasting.","","","Detect. The dragon makes a Wisdom (Perception) check.
Tail Attack. The dragon makes a Tail attack. If a creature is already grappled, the dragon may use Constrict instead.
Death Throw (Costs 3 Actions). If the dragon has successfully restrained a creature with the Constrict ability, it may throw them up to 100 feet away. When it lands, the creature takes 21 (6d6) bludgeoning damage and must make a DC 18 Constitution saving throw. On a failed save, the creature has the unconscious condition for 10 minutes.","","","","",""
"Succubus","MM'25","303","Medium","Fiend","neutral evil","15","71 (13d8 + 13)","30 ft., Fly 60 ft.","8","17","13","15","12","20","","Deception +9, Insight +5, Perception +5, Persuasion +9, Stealth +7","","cold, fire, poison, psychic","","","Darkvision 60 ft., passive Perception 15","Abyssal, Common, Infernal; telepathy 60 ft.","4 (XP 1,100; PB +2)","Incubus Form. When the succubus finishes a Long Rest, it can shape-shift into an Incubus, using that stat block instead of this one.","Multiattack. The succubus makes one Fiendish Touch attack and uses Charm or Draining Kiss.
Fiendish Touch. Melee Attack Roll: +7, reach 5 ft. Hit: 16 (2d10 + 5) Psychic damage.
Charm. The succubus casts Dominate Person (level 8 version), requiring no spell components and using Charisma as the spellcasting ability (spell save DC 15).
Draining Kiss. Constitution Saving Throw: DC 15, one creature Charmed by the succubus within 5 feet. Failure: 13 (3d8) Psychic damage. Success: Half damage. Failure or Success: The target's Hit Point maximum decreases by an amount equal to the damage taken.","Shape-Shift. The succubus shape-shifts to resemble a Medium or Small Humanoid or back into its true form. Its game statistics are the same in each form, except its Fly Speed is available only in its true form. Any equipment it's wearing or carrying isn't transformed.","","","","","","Planar (Lower Planes), Urban","Implements"
"Suldil Baldoriel","MaBJoV","66","Medium","Humanoid (Half-Elf)","chaotic good","12 (15 with mage armor)","137 (25d8 + 25)","30 ft.","10","14","12","12","14","20","Con +5, Cha +9","Arcana +9, Deception +9, Persuasion +9","","lightning","","","passive Perception 12","Celestial, Common, Draconic, Elvish","10 (XP 5,900; PB +4)","Young Bronze Dragon. Suldil is accompanied by a young bronze dragon. The dragon allows Suldil to use him as a mount.","Bronze Bolt. Melee or Ranged Spell Attack: +9 to hit, reach 5 ft. or range 120 ft., one target. Hit: 21 (3d10 + 5) lightning damage.
Explosion (1/Day). Suldil discharges a burst of energy in a 60-foot-radius. Each creature in that area must make a DC 17 Dexterity saving throw, taking 44 (8d10) lightning damage on failed save, half as much damage on a successful save.
Spellcasting. Suldil casts one of the following spells, using Charisma as the spellcasting ability (spell save DC 17):At will: detect magic, light, mage hand2/day each: counterspell, shield1/day: disintegrate","Mounted. If Suldil isn't mounted, she can use a bonus action to magically teleport onto her young bronze dragon mount, provided Suldil and the young bronze dragon are on the same plane of existence. When she teleports, Suldil appears astride the young bronze dragon along with any equipment she is wearing or carrying. While mounted and not incapacitated, Suldil can't be surprised, and both her and her mount gain advantage on Dexterity saving throws.","","","","","","",""
"Summer Eladrin","MPMM","116","Medium","Fey (Elf)","chaotic neutral","19 (natural armor)","165 (22d8 + 66)","50 ft.","19","21","16","14","12","18","","Athletics +8, Intimidation +8","","fire","","","Darkvision 60 ft., passive Perception 11","Common, Elvish, Sylvan","10 (XP 5,900; PB +4)","Fearsome Presence. Any non-eladrin creature that starts its turn within 60 feet of the eladrin must make a DC 16 Wisdom saving throw. On a failed save, the creature becomes frightened of the eladrin for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to any eladrin's Fearsome Presence for the next 24 hours.
Magic Resistance. The eladrin has advantage on saving throws against spells and other magical effects.","Multiattack. The eladrin makes two Longsword or Longbow attacks.
Longsword. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) slashing damage, or 15 (2d10 + 4) slashing damage if used with two hands, plus 9 (2d8) fire damage.
Longbow. Ranged Weapon Attack: +9 to hit, range 150/600 ft., one target. Hit: 14 (2d8 + 5) piercing damage plus 9 (2d8) fire damage.","Fey Step (Recharge 4–6). The eladrin teleports, along with any equipment it is wearing or carrying, up to 30 feet to an unoccupied space it can see.","Parry. The eladrin adds 3 to its AC against one melee attack that would hit it. To do so, the eladrin must see the attacker and be wielding a melee weapon.","","","","","Desert, Forest",""
"Swarm of Bats","MM'25","370","Large","swarm of Tiny Beasts","unaligned","12","11 (2d10)","5 ft., Fly 30 ft.","5","15","10","2","12","4","","","","bludgeoning, piercing, slashing","","charmed, frightened, grappled, paralyzed, petrified, prone, restrained, stunned","Blindsight 60 ft., passive Perception 11","—","1/4 (XP 50; PB +2)","Swarm. The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny bat. The swarm can't regain Hit Points or gain Temporary Hit Points.","Bites. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (2d4) Piercing damage, or 2 (1d4) Piercing damage if the swarm is Bloodied.","","","","","","","Forest, Mountain, Underdark, Urban",""
